county,year,litter,recycled,dumps,county_rd_miles,state_rd_miles
Fayette,2019-2020,63780,0,21,37.42666667,0.616666667
Fayette,2020-2021,91080,0,15,65.39833333,1.041666667
Fayette,2021-2022,79400,0,3,62.965,0
Fayette,2022-2023,71900,0,0,66.885,0
Fayette,2023-2024,97960,0,1,66.5525,0
Fentress,2019-2020,112962.5,0,1,55.14583333,1513.3125
Fentress,2020-2021,138141,0,0,32.83333333,136
Fentress,2021-2022,145321,0,0,43.58333333,238.5
Fentress,2022-2023,184832,21.3,1,72.64583333,141.0833333
Fentress,2023-2024,102735,0,0,60.66666667,52.16666667
Franklin,2019-2020,246020,1,25,131.2166667,0
Franklin,2020-2021,92700,0,45,88.79166667,0
Franklin,2021-2022,37960,0,11,18.04166667,0
Franklin,2022-2023,91800,0,14,11.95833333,0
Franklin,2023-2024,243870,0,0,252.8833333,0
Gibson,2019-2020,92550,66680,64,71.97083333,0
Gibson,2020-2021,96960,0,54,56.7,0
Gibson,2021-2022,75940,0,60,45.3275,0
Gibson,2022-2023,98990,0,49,52.56416667,0
Gibson,2023-2024,111510,0,29,0,55.395
Giles,2019-2020,58020,170,37,159.8333333,0.666666667
Giles,2020-2021,51360,93,30,24.1,3.166666667
Giles,2021-2022,76240,10,22,27.94166667,3.75
Giles,2022-2023,79380,0,43,47.625,38.83333333
Giles,2023-2024,58690,295,67,60.05,35.6
Grainger,2019-2020,83380,83380,22,15.5625,9.916666667
Grainger,2020-2021,49980,29920,0,13.925,3.033333333
Grainger,2021-2022,164780,164780,3,55.55833333,4.075
Grainger,2022-2023,140466,141466,22,51.41666667,6.425
Grainger,2023-2024,171264,153036,24,85.86666667,11.90833333
Greene,2019-2020,652793,102415,63,63.20833333,15.66666667
Greene,2020-2021,635395,96545,62,64.08333333,14.83333333
Greene,2021-2022,604150,91134,62,67,15.83333333
Greene,2022-2023,771340,97390,89,75.625,18.375
Greene,2023-2024,675765,92415,76,74.29166667,16.70833333
Grundy,2019-2020,102650,0,0,86.23333333,0
Grundy,2020-2021,111100,0,0,110.325,0
Grundy,2021-2022,72800,0,0,73.1,0
Grundy,2022-2023,66000,0,0,72,0
Grundy,2023-2024,54760,0,0,115.125,0
Hamblen,2019-2020,55720,35100,3,258.825,127.75
Hamblen,2020-2021,60040,175412,1,281.8,138.8333333
Hamblen,2021-2022,54731,8897,1,210.5416667,140.5833333
Hamblen,2022-2023,81660,71544,0,316.9416667,137.5
Hamblen,2023-2024,74120,0,1,283.4166667,822.9166667
Hamilton,2019-2020,134651.65,0,0,1.441666667,238.74
Hamilton,2020-2021,108395,0,0,1.4825,75.1525
Hamilton,2021-2022,160972,0,0,0.758333333,113.6058333
Hamilton,2022-2023,185707,1,0,7.583333333,254.5483333
Hamilton,2023-2024,198338,0,0,3.1,302.2525
Hancock,2019-2020,82840,82840,0,54.725,27.23333333
Hancock,2020-2021,83290,83290,0,53.30833333,27.23333333
Hancock,2021-2022,48945,48945,0,25.99166667,15.56666667
Hancock,2022-2023,75892,75892,3,58.65833333,19.96666667
Hancock,2023-2024,37063,37063,2,48.24166667,10.61666667
Hardeman,2019-2020,0,0,0,0,655
Hardeman,2020-2021,1720,0,0,0.5,0
Hardeman,2021-2022,8285,0,4,2.658333333,0
Hardeman,2022-2023,249180,0,3,291.9166667,0.416666667
Hardeman,2023-2024,167800,0,1,721.6666667,3
Hardin,2019-2020,70005,14344,0,14.925,0
Hardin,2020-2021,64440,0,0,17.41666667,0
