county,year,litter,recycled,dumps,partners,volunteer_hours,county_road_miles,litter_per_mile,recycled_per_mile
Clay,2019-2020,6678.0,2797.0,0,48,120.0,233.0,28.660944206008583,12.004291845493562
Clay,2020-2021,1155.0,1421.0,0,48,120.0,233.0,4.957081545064377,6.098712446351931
Clay,2021-2022,600.0,751.0,0,44,120.0,233.0,2.575107296137339,3.223175965665236
Clay,2022-2023,656.0,655.0,1,41,114.0,233.0,2.815450643776824,2.811158798283262
Clay,2023-2024,474.0,787.0,0,50,120.0,233.0,2.0343347639484977,3.3776824034334765
Cocke,2019-2020,130960.0,179600.0,18,12,12.0,116.0,1128.9655172413793,1548.2758620689656
Cocke,2020-2021,185559.0,161462.0,35,0,0.0,116.0,1599.646551724138,1391.9137931034484
Cocke,2021-2022,454132.5,305147.5,44,0,0.0,116.0,3914.935344827586,2630.581896551724
Cocke,2022-2023,359959.0,359959.0,17,228,540.0,116.0,3103.094827586207,3103.094827586207
Cocke,2023-2024,219144.0,3460.0,20,228,540.0,116.0,1889.1724137931035,29.82758620689655
Coffee,2019-2020,245560.0,48.0,0,0,0.0,79.73,3079.894644424934,0.602031857519127
Coffee,2020-2021,217462.0,21.0,0,0,0.0,79.73,2727.480245829675,0.2633889376646181
Coffee,2021-2022,233560.0,0.0,0,0,0.0,79.73,2929.3866800451524,0.0
Coffee,2022-2023,224960.0,0.0,0,0,0.0,79.73,2821.5226389063087,0.0
Coffee,2023-2024,223540.0,0.0,0,0,0.0,79.73,2803.7125297880343,0.0
Crockett,2019-2020,12634.0,4075.0,1,0,0.0,435.0,29.04367816091954,9.367816091954023
Crockett,2020-2021,5799.0,2730.0,1,0,0.0,435.0,13.331034482758621,6.275862068965517
Crockett,2021-2022,6939.0,4220.0,0,0,0.0,435.0,15.951724137931034,9.701149425287356
Crockett,2022-2023,4990.25,2670.0,2,0,0.0,435.0,11.47183908045977,6.137931034482759
Crockett,2023-2024,5195.0,3230.0,2,0,0.0,435.0,11.942528735632184,7.425287356321839
Cumberland,2019-2020,119100.0,119100.0,95,96,50.0,1080.0,110.27777777777777,110.27777777777777
Cumberland,2020-2021,140530.0,146969.0,87,320,66.0,1080.0,130.12037037037038,136.0824074074074
Cumberland,2021-2022,167780.0,174080.0,81,3,1.5,1080.0,155.35185185185185,161.1851851851852
Cumberland,2022-2023,151415.0,149285.0,61,0,0.0,1080.0,140.19907407407408,138.22685185185185
Cumberland,2023-2024,126850.0,130575.0,63,0,0.0,1080.0,117.45370370370371,120.90277777777777
Davidson,2019-2020,4633640.0,0.0,0,106,3793.0,12948.0,357.8653073833797,0.0
Davidson,2020-2021,3458140.0,0.0,0,108,2912.0,12948.0,267.0790855730615,0.0
Davidson,2021-2022,2920500.0,0.0,0,3497,5503.5,12948.0,225.5560704355885,0.0
